OID_,pointid,grid_code,dCSI,NDVIre1n,NDVIre2n,NDVIre3n,CSI,BSI,NBR,NBR2,Elevation,Aspect,Slope,NDVI_NDBI,dCSI_cat
2034,2159,0.1514742,0.06258,0.1657933,0.0793712,0.0321024,1.4349846,0.0090134,0.1379004,0.1479446,20.2628517,81.9615326,6.6107616,0.1617276,1
2035,2161,0.127255,0.0543765,0.1253494,0.053967,0.0013392,1.4595649,0.0011221,0.1245117,0.1629318,17.501112,47.4989548,1.6450174,0.1664707,1
2036,2162,0.1034325,0.148085,0.1385616,0.0706916,0.0370096,1.5395604,0.0011221,0.1842223,0.163026,17.4833145,42.7743874,1.7856863,0.0815799,2
2037,2163,0.0868139,0.148085,0.1385616,0.0706916,0.0370096,1.5395604,0.0011221,0.1842223,0.163026,17.4815845,38.7746086,2.002141,0.0649613,2
2038,2164,0.1463303,0.2153077,0.1798051,0.0679495,0.0138915,1.4974705,-0.009826,0.1155854,0.1612447,17.4760628,35.8481674,2.2160966,0.1928568,3
2039,2165,0.2106926,0.2153077,0.1798051,0.0679495,0.0138915,1.4974705,-0.009826,0.1155854,0.1612447,17.2933311,84.3649826,2.3210645,0.2572191,3
2040,2166,0.1649354,0.2875376,0.1775411,0.0884103,0.0401882,1.5726141,-0.009826,0.1889423,0.1697835,17.1093979,132.3924561,2.4267571,0.1451416,3
2041,2167,0.1445143,0.2875376,0.1775411,0.0884103,0.0401882,1.5726141,-0.0015334,0.1889423,0.1697835,16.9970207,179.9666595,2.5645123,0.1247205,3
2042,2168,0.1008741,0.1644738,0.1269035,0.06198,0.0145043,1.4605263,-0.0015334,0.1299154,0.1543299,17.3403625,227.7823334,2.9006124,0.1257882,2
2043,2169,0.0908655,0.1644738,0.1269035,0.06198,0.0145043,1.4605263,-0.0015334,0.1299154,0.1543299,17.6837063,275.9964905,3.2393711,0.1157796,2
2044,2170,0.0913605,0.1772472,0.1433114,0.0726614,0.0353764,1.5053828,-0.0014523,0.1519148,0.1581067,18.1205368,311.303009,3.441113,0.0977048,2
2045,2171,0.1167225,0.1772472,0.1433114,0.0726614,0.0353764,1.5053828,-0.0014523,0.1519148,0.1581067,18.8333645,307.6931458,3.2338123,0.1230668,2
2046,2172,0.1244102,0.2158275,0.1483318,0.0643544,0.0224809,1.4479818,-0.0014523,0.1165244,0.1541236,19.5485916,304.0889587,3.0266275,0.162697,3
2047,2173,0.1106933,0.2158275,0.1483318,0.0643544,0.0224809,1.4479818,0.0214508,0.1165244,0.1541236,20.0596695,266.9630432,2.7516179,0.1489801,3
2048,2174,0.1067961,0.1333019,0.1388462,0.078521,0.0303632,1.3251659,0.0214508,0.095359,0.1379538,20.219862,172.927887,2.36064,0.1499587,2
2049,2175,0.079291,0.1333019,0.1388462,0.078521,0.0303632,1.3251659,0.0214508,0.095359,0.1379538,20.3788567,78.9434128,1.9687753,0.1224536,2
2050,2176,0.1110575,0.1092957,0.1387283,0.0737946,0.031206,1.3283195,0.024366,0.0888469,0.1402453,20.1987953,30.5222378,1.8450843,0.1631044,1
