OID_,pointid,grid_code,dNDVI,dNDVIre1n,dNDVIre2n,dNDVIre3n,dNBR,dNBR2,dCSI,dBSI,NDVI,NDVIre1n,NDVIre2n,NDVIre3n,CSI,BSI,NBR,NBR2,Elevation,Aspect,Slope,NDBI,dNDBI,dNDVI_dNDBI,dNDVI_dNDBI_divided_by_2,dCSI_cat,post_NDBI,NDVI_NDBI
5581,5810,0.094687,-0.0400904,-0.0185499,-0.0123823,0.0067429,-0.0280092,-0.0015135,-0.0396818,0.0208605,0.094687,0.1263622,0.0653509,0.0325186,1.2199899,0.0196248,0.0221022,0.1129427,14.3702517,290.5470581,5.0552373,0.0910679,0.0263518,6.64E-02,0.0332211,0,0.0647161,0.1857549
5582,5811,0.11077,-0.0286131,-0.0090872,-0.0037397,0.0184108,0.0356402,0.0199585,0.0647451,0.0208605,0.11077,0.139894,0.0747501,0.0388574,1.3189334,0.0196248,0.087147,0.1260778,15.6662159,285.5427246,6.1615562,0.0393633,-0.0155493,1.31E-02,0.0065319,1,0.0549126,0.1501333
5583,5812,0.1054455,-0.0351191,-0.0090872,-0.0037397,0.0184108,0.0356402,0.0199585,0.0647451,0.0208605,0.1054455,0.139894,0.0747501,0.0388574,1.3189334,0.0196248,0.087147,0.1260778,16.9633751,283.9950867,5.8073988,0.0393633,-0.0155493,1.96E-02,0.0097849,1,0.0549126,0.1448088
5584,5813,0.1220513,-0.0012698,0.0313019,0.0199582,0.0199248,0.0843904,0.0528351,0.1952821,-0.0105222,0.1220513,0.173913,0.0944321,0.0433121,1.4642432,0.000834,0.1128734,0.1580532,18.2617302,283.671936,4.9466305,0.0460005,-0.0309654,-2.97E-02,-0.0148478,2,0.0769659,0.1680518
5585,5814,0.1308085,0.0480184,0.0313019,0.0199582,0.0199248,0.0843904,0.0528351,0.1952821,-0.0105222,0.1308085,0.173913,0.0944321,0.0433121,1.4642432,0.000834,0.1128734,0.1580532,19.5612812,283.3833313,4.0859423,0.0460005,-0.0309654,-7.90E-02,-0.0394919,2,0.0769659,0.176809
5586,5815,0.1527179,0.0890192,0.0655388,0.01556,0.0000222,0.0930168,0.0641509,0.1576385,-0.0105222,0.1527179,0.1919756,0.0820655,0.0103315,1.3725146,0.000834,0.1230769,0.1509434,19.821722,224.6988373,3.2221036,0.028394,-0.0284868,-0.117505999,-0.058753,2,0.0568808,0.1811119
5587,5816,0.1873136,0.1267909,0.0655388,0.01556,0.0000222,0.0930168,0.0641509,0.1576385,-0.0204491,0.1873136,0.1919756,0.0820655,0.0103315,1.3725146,-0.0039978,0.1230769,0.1509434,19.9103909,156.3226471,2.353236,0.028394,-0.0284868,-0.155277709,-0.0776389,2,0.0568808,0.2157076
5588,5817,0.1451282,0.0589493,0.0348544,0.003557,0.0105059,0.0257405,0.0373458,0.0809282,-0.0204491,0.1451282,0.1869422,0.0875834,0.0399177,1.2756184,-0.0039978,0.0575642,0.1278891,19.9978657,87.8346024,1.4795229,0.0708464,0.0119572,-4.70E-02,-0.0234961,2,0.0588892,0.2159746
5589,5818,0.1485404,0.0712241,0.0348544,0.003557,0.0105059,0.0257405,0.0373458,0.0809282,-0.0204491,0.1485404,0.1869422,0.0875834,0.0399177,1.2756184,-0.0039978,0.0575642,0.1278891,19.4092941,95.6030807,3.3215761,0.0708464,0.0119572,-5.93E-02,-0.0296335,2,0.0588892,0.2193868
5590,5819,0.1370341,0.0493717,0.0285083,-0.0037382,0.0031546,0.0263611,0.0499947,0.0453241,0.0045748,0.1370341,0.179898,0.0845793,0.0314092,1.2776026,0.0211447,0.0558451,0.1364359,18.8072472,105.3600845,5.2323895,0.0812095,0.0241068,-2.53E-02,-0.0126324,1,0.0571027,0.2182436
5591,5820,0.1584967,0.0782518,0.0285083,-0.0037382,0.0031546,0.0263611,0.0499947,0.0453241,0.0045748,0.1584967,0.179898,0.0845793,0.0314092,1.2776026,0.0211447,0.0558451,0.1364359,18.097002,114.3225021,7.0586219,0.0812095,0.0241068,-0.054144986,-0.0270725,1,0.0571027,0.2397062
5592,5821,0.131779,0.0688974,0.0261745,-0.0119783,-0.0054699,-0.008205,0.0363067,-0.0166146,0.0045748,0.131779,0.1730861,0.0770574,0.0281309,1.3011603,0.0211447,0.0627781,0.1420815,16.2837925,114.7987366,8.047924,0.0800171,0.0449623,-2.39E-02,-0.0119676,0,0.0350548,0.2117961
5593,5822,0.1071061,0.0143788,0.0261745,-0.0119783,-0.0054699,-0.008205,0.0363067,-0.0166146,0.0282063,0.1071061,0.1730861,0.0770574,0.0281309,1.3011603,0.0274503,0.0627781,0.1420815,14.4717779,115.2790985,9.0411034,0.0800171,0.0449623,3.06E-02,0.0152917,0,0.0350548,0.1871232
5594,5823,0.1162675,0.0307318,-0.0028813,0.0002626,0.0131121,-0.0557645,0.006218,-0.1482929,0.0282063,0.1162675,0.1517579,0.0862539,0.0391488,1.2353222,0.0274503,0.0603274,0.1263553,12.6956444,116.1084137,9.5131083,0.066535,0.0624325,3.17E-02,0.0158503,0,0.0041025,0.1828025
5595,5824,0.1116859,0.033396,-0.0028813,0.0002626,0.0131121,-0.0557645,0.006218,-0.1482929,0.0282063,0.1116859,0.1517579,0.0862539,0.0391488,1.2353222,0.0274503,0.0603274,0.1263553,11.0511322,118.2422409,7.9922414,0.066535,0.0624325,2.90E-02,0.0145182,0,0.0041025,0.1782209
5596,5825,0.1146704,0.032982,0.0179305,0.0031078,0.0120877,-0.0051902,0.0186928,-0.0491471,0.0148561,0.1146704,0.1684187,0.0899228,0.0350703,1.1872727,0.0394944,0.0342406,0.1189427,9.405426,120.3628159,6.4740176,0.0850485,0.023988,-8.99E-03,-0.004497,0,0.0610605,0.1997189
5597,5826,0.1203043,0.0301302,0.0179305,0.0031078,0.0120877,-0.0051902,0.0186928,-0.0491471,0.0148561,0.1203043,0.1684187,0.0899228,0.0350703,1.1872727,0.0394944,0.0342406,0.1189427,8.2618341,124.2545547,4.9325466,0.0850485,0.023988,-6.14E-03,-0.0030711,0,0.0610605,0.2053528
5598,5827,0.1066389,0.0334682,0.0135056,0.0030079,0.0127793,0.0609421,0.0212516,0.0234362,0.0148561,0.1066389,0.1534577,0.0786286,0.0303981,1.1387082,0.0394944,0.0351317,0.1126923,8.1623011,131.7422485,3.3355374,0.0778688,-0.0391061,-7.26E-02,-0.0362872,1,0.1169749,0.1845077
5599,5828,0.1116102,0.0342786,0.0135056,0.0030079,0.0127793,0.0609421,0.0212516,0.0234362,0.0046342,0.1116102,0.1534577,0.0786286,0.0303981,1.1387082,0.0464569,0.0351317,0.1126923,8.0591888,139.0623932,1.7346311,0.0778688,-0.0391061,-7.34E-02,-0.0366924,1,0.1169749,0.189479
5600,5829,0.1444026,0.0463014,0.011604,-0.0031764,-0.0059206,-0.0158878,0.0137676,-0.0953658,0.0046342,0.1444026,0.1612903,0.0780261,0.0215827,1.0636704,0.0464569,0.0062035,0.1011782,8,167.7007141,0.8807967,0.0950344,0.0295887,-1.67E-02,-0.0083563,0,0.0654457,0.239437
5601,5831,0.3405833,0.1900115,0.0618065,0.0051592,0.0093462,0.0743902,0.0237311,0.1286166,-0.0101743,0.3405833,0.2534562,0.1029156,0.0396797,1.6760564,-0.0312625,0.2282609,0.1916509,5.9115772,122.0554047,5.368444,-0.0382848,-0.0527066,-0.242718108,-0.1213591,2,0.0144218,0.3022985
5602,5833,0.0950536,-0.0141093,-0.0206222,-0.0127136,0.0075907,-0.0125669,-0.0201667,-0.1161448,0.0053462,0.0950536,0.1308431,0.0724696,0.0339578,1.1102263,0.0432075,-0.0059022,0.097238,15.1243715,123.9550476,4.2854924,0.103081,-0.0077457,6.36E-03,0.0031818,0,0.1108267,0.1981346
5603,5834,0.0945626,0.0059091,-0.0206222,-0.0127136,0.0075907,-0.0125669,-0.0201667,-0.1161448,0.0053462,0.0945626,0.1308431,0.0724696,0.0339578,1.1102263,0.0432075,-0.0059022,0.097238,14.2970295,117.5494766,3.8383248,0.103081,-0.0077457,-1.37E-02,-0.0068274,0,0.1108267,0.1976436
5604,5835,0.116349,0.038987,-0.0020497,-0.0078752,0.0083379,0.0344339,0.008488,-0.0363644,0.0053462,0.116349,0.1432445,0.0749947,0.0330747,1.1330049,0.0432075,0.0259542,0.107514,13.6343441,104.7827911,3.3421664,0.081788,-0.0256275,-6.46E-02,-0.0323072,0,0.1074155,0.198137
5605,5836,0.1144654,0.0324774,-0.0020497,-0.0078752,0.0083379,0.0344339,0.008488,-0.0363644,0.0143126,0.1144654,0.1432445,0.0749947,0.0330747,1.1330049,0.0380325,0.0259542,0.107514,13.2189779,82.4633942,2.7679079,0.081788,-0.0256275,-5.81E-02,-0.0290525,0,0.1074155,0.1962534
5606,5837,0.1087327,0.0285559,-0.0135458,-0.0010393,0.0150141,0.0202358,0.0065807,-0.020523,0.0143126,0.1087327,0.1498305,0.0890411,0.0441207,1.210852,0.0380325,0.025058,0.1129407,12.8000231,60.2301254,2.1917529,0.0881321,-0.0134578,-4.20E-02,-0.0210068,0,0.1015899,0.1968648
5607,5838,0.1138991,0.0181917,-0.0135458,-0.0010393,0.0150141,0.0202358,0.0065807,-0.020523,0.0143126,0.1138991,0.1498305,0.0890411,0.0441207,1.210852,0.0380325,0.025058,0.1129407,12.5946741,94.5328751,2.1859848,0.0881321,-0.0134578,-3.16E-02,-0.0158247,0,0.1015899,0.2020312
5608,5839,0.0972395,-0.0056564,-0.0174385,-0.0084499,0.0084779,-0.0082933,0.0031693,-0.0685784,0.0270822,0.0972395,0.1257376,0.0705806,0.0218377,1.2050534,0.0289486,0.039664,0.1090909,12.5929499,181.9283447,2.7170787,0.0697286,0.0114684,1.71E-02,0.0085624,0,0.0582602,0.1669681
5609,5840,0.0964717,-0.0134082,-0.0174385,-0.0084499,0.0084779,-0.0082933,0.0031693,-0.0685784,0.0270822,0.0964717,0.1257376,0.0705806,0.0218377,1.2050534,0.0289486,0.039664,0.1090909,12.5912256,269.22229,3.2461994,0.0697286,0.0114684,2.49E-02,0.0124383,0,0.0582602,0.1662003
5610,5841,0.1150118,-0.0118355,0.0073811,0.0015529,0.0121718,-0.0181487,0.0157854,-0.0097466,0.0270822,0.1150118,0.1533181,0.0756462,0.0318471,1.2915717,0.0289486,0.0325069,0.1351884,13.3363667,297.1456909,4.0192471,0.1031347,0.0339689,4.58E-02,0.0229022,0,0.0691658,0.2181465
